2019-05-16 13:28:53,326 [  47093]   INFO - il.indexing.FileBasedIndexImpl - Index IdIndex will be built. 
2019-05-16 13:28:53,461 [  47228]   INFO - il.indexing.FileBasedIndexImpl - Index Stubs will be built. 
2019-05-16 13:28:53,657 [  47424]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.search.SearchableOptionPreloader took 621 ms 
2019-05-16 13:28:54,246 [  48013]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:HTML,PythonStub,XML,Python 
2019-05-16 13:28:54,423 [  48190]   INFO - il.indexing.FileBasedIndexImpl - Index Trigram.Index will be built. 
2019-05-16 13:28:54,449 [  48216]   INFO - il.indexing.FileBasedIndexImpl - Index fileIncludes will be built. 
2019-05-16 13:28:54,470 [  48237]   INFO - il.indexing.FileBasedIndexImpl - Index DomFileIndex will be built. 
2019-05-16 13:28:54,514 [  48281]   INFO - il.indexing.FileBasedIndexImpl - Index RelaxSymbolIndex will be built. 
2019-05-16 13:28:54,540 [  48307]   INFO - il.indexing.FileBasedIndexImpl - Index XmlTagNames will be built. 
2019-05-16 13:28:54,552 [  48319]   INFO - il.indexing.FileBasedIndexImpl - Index XmlNamespaces will be built. 
2019-05-16 13:28:54,571 [  48338]   INFO - il.indexing.FileBasedIndexImpl - Index html5.custom.attributes.index will be built. 
2019-05-16 13:28:54,618 [  48385]   INFO - il.indexing.FileBasedIndexImpl - Index SchemaTypeInheritance will be built. 
2019-05-16 13:28:54,641 [  48408]   INFO - il.indexing.FileBasedIndexImpl - Index ImageFileInfoIndex will be built. 
2019-05-16 13:28:54,663 [  48430]   INFO - il.indexing.FileBasedIndexImpl - Index json.file.root.values will be built. 
2019-05-16 13:28:54,674 [  48441]   INFO - il.indexing.FileBasedIndexImpl - Index Py.module.name will be built. 
2019-05-16 13:28:54,683 [  48450]   INFO - il.indexing.FileBasedIndexImpl - Index Py.setuptools.namespace will be built. 
2019-05-16 13:28:54,703 [  48470]   INFO - pl$FileIndexDataInitialization - Initialization done:9986 
2019-05-16 13:28:54,705 [  48472]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.namespaceKey will be built. 
2019-05-16 13:28:54,714 [  48481]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.elementClass will be built. 
2019-05-16 13:28:54,720 [  48487]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.class.shortName will be built. 
2019-05-16 13:28:54,728 [  48495]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.class.shortNameInsensitive will be built. 
2019-05-16 13:28:54,736 [  48503]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.function.shortName will be built. 
2019-05-16 13:28:54,742 [  48509]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.class.super will be built. 
2019-05-16 13:28:54,749 [  48516]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.variable.shortName will be built. 
2019-05-16 13:28:54,755 [  48522]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Python.Decorator will be built. 
2019-05-16 13:28:54,762 [  48529]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.class.attributes will be built. 
2019-05-16 13:28:54,767 [  48534]   INFO - exImpl$StubIndexInitialization - Initialization done:64 
2019-05-16 13:28:55,156 [  48923]   INFO - .openapi.application.Preloader - com.intellij.codeInsight.completion.CompletionPreloader took 1499 ms 
2019-05-16 13:28:55,236 [  49003]   INFO - .openapi.application.Preloader - com.intellij.ide.actions.GotoClassPresentationUpdater took 46 ms 
2019-05-16 13:28:55,686 [  49453]   INFO - j.ide.ui.OptionsTopHitProvider - 747 ms spent on EDT to cache options in application 
